cui,pretty_name,types,ID,LABEL,source,Count
C0040210,Tidal Volume,['Clinical Attribute'],684,Tidal Volume,Vital,12633.0
C0428648,Inspired oxygen concentration,['Finding'],3420,FIO2,Vital,69125.0
C0003074,Anion Gap,['Clinical Attribute'],3732,Anion Gap,Vital,1406.0
C0005776,blood flow measurement,['Diagnostic Procedure'],224144,Blood Flow,Vital,405.0
C0040210,Tidal Volume,['Clinical Attribute'],224684,Tidal Volume,Vital,1669.0
C0040210,Tidal Volume,['Clinical Attribute'],224685,Tidal Volume,Vital,2718.0
C0040210,Tidal Volume,['Clinical Attribute'],224686,Tidal Volume,Vital,1461.0
C0428679,Minute volume,['Finding'],224687,Minute Volume,Vital,2908.0
C0231832,Respiratory rate,['Clinical Attribute'],224688,Respiratory Rate,Vital,1714.0
C0231832,Respiratory rate,['Clinical Attribute'],224689,Respiratory Rate,Vital,2650.0
C0231832,Respiratory rate,['Clinical Attribute'],224690,Respiratory Rate,Vital,1906.0
C0232021,Peak inspiratory pressure,['Finding'],224695,Peak Insp. Pressure,Vital,2628.0
C3697947,Mean inspiratory airway pressure,['Clinical Attribute'],224697,Mean Airway Pressure,Vital,2882.0
C0518087,Pain level,['Finding'],224409,Pain Level Response,Vital,2228.0
C0428722,Airway device cuff pressure,['Finding'],224417,Cuff Pressure,Vital,380.0
C0428686,Inspiratory time,['Finding'],224738,Inspiratory Time,Vital,1638.0
C0007165,Cardiac Output,['Clinical Attribute'],224842,Cardiac Output,Vital,614.0
C0018810,heart rate,['Clinical Attribute'],220045,Heart Rate,Vital,33412.0
C0871470,Systolic Pressure,['Clinical Attribute'],220050,Arterial Blood Pressure systolic,Vital,11803.0
C0428883,Diastolic blood pressure,['Clinical Attribute'],220051,Arterial Blood Pressure diastolic,Vital,11800.0
C0428886,Mean blood pressure,['Finding'],220052,Arterial Blood Pressure mean,Vital,11877.0
C0428881,Non invasive systolic arterial pressure,['Finding'],220179,Non Invasive Blood Pressure systolic,Vital,20867.0
C0428884,Non-invasive diastolic arterial pressure,['Finding'],220180,Non Invasive Blood Pressure diastolic,Vital,20855.0
C0428887,Non-invasive mean arterial pressure,['Finding'],220181,Non Invasive Blood Pressure mean,Vital,20936.0
C0231832,Respiratory rate,['Clinical Attribute'],220210,Respiratory Rate,Vital,33053.0
C0428693,Inspired gas temperature,['Finding'],223872,Inspired Gas Temp.,Vital,1396.0
C0559291,Glasgow Coma Scale verbal response subscore,['Finding'],223900,GCS - Verbal Response,Vital,7825.0
C0559290,Glasgow Coma Scale motor response subscore,['Finding'],223901,GCS - Motor Response,Vital,7800.0
C0518087,Pain level,['Finding'],223791,Pain Level,Vital,4152.0
C0428648,Inspired oxygen concentration,['Finding'],223835,Inspired O2 Fraction,Vital,4062.0
C1171399,Eosinophil percentage measurement,['Laboratory Procedure'],51347,Eosinophils measurement,Lab,34.0
C0474566,Platelet hematocrit measurement,['Laboratory Procedure'],51348,"Hematocrit, CSF measurement",Lab,2.0
C1171403,Monocyte percentage measurement,['Laboratory Procedure'],51355,Monocytes measurement,Lab,215.0
C1171403,Monocyte percentage measurement,['Laboratory Procedure'],51379,Monocytes measurement,Lab,14.0
C1171399,Eosinophil percentage measurement,['Laboratory Procedure'],51419,Eosinophils measurement,Lab,24.0
C1294064,Mesothelial cell count,['Laboratory Procedure'],51429,Mesothelial cells measurement,Lab,19.0
C1171399,Eosinophil percentage measurement,['Laboratory Procedure'],51444,Eosinophils measurement,Lab,31.0
C1293938,Percentage measurement of cell type to lymphocytes,['Laboratory Procedure'],51446,Lymphocytes measurement,Lab,104.0
C1294064,Mesothelial cell count,['Laboratory Procedure'],51448,Mesothelial Cells measurement,Lab,56.0
C0201985,Base excess measurement,['Laboratory Procedure'],50802,Base Excess measurement,Lab,21927.0
C0729819,Blood bicarbonate measurement,['Laboratory Procedure'],50803,"Calculated Bicarbonate, Whole Blood measurement",Lab,290.0
C0201932,Carboxyhemoglobin measurement,['Laboratory Procedure'],50805,Carboxyhemoglobin measurement,Lab,80.0
C0391938,Blood chloride level measurement,['Laboratory Procedure'],50806,"Chloride, Whole Blood measurement",Lab,1433.0
C0201925,Calcium measurement,['Laboratory Procedure'],50808,Free Calcium measurement,Lab,9296.0
C0337438,Glucose measurement,['Laboratory Procedure'],50809,Glucose measurement,Lab,7027.0
C0202115,Lactic acid measurement,['Laboratory Procedure'],50813,Lactate measurement,Lab,6593.0
C0546660,Methemoglobin measurement,['Laboratory Procedure'],50814,Methemoglobin measurement,Lab,75.0
C0199501,Expiratory flow rate measurement,['Laboratory Procedure'],50815,O2 Flow measurement,Lab,725.0
C0523806,Oxygen measurement,['Laboratory Procedure'],50816,Oxygen measurement,Lab,7429.0
C0523807,Oxygen saturation measurement,['Laboratory Procedure'],50817,Oxygen Saturation measurement,Lab,7395.0
C0428189,Measurement of partial pressure of carbon dioxide in blood,['Laboratory Procedure'],50818,pCO2 measurement,Lab,21924.0
C0202165,Hydrogen ion concentration measurement,['Laboratory Procedure'],50820,pH measurement,Lab,23610.0
C1283004,PO2 measurement,['Laboratory Procedure'],50821,pO2 measurement,Lab,21926.0
C0729816,Blood potassium measurement,['Laboratory Procedure'],50822,"Potassium, Whole Blood measurement",Lab,6930.0
C0202165,Hydrogen ion concentration measurement,['Laboratory Procedure'],50831,pH measurement,Lab,60.0
C2711642,Serum ascites albumin gradient,['Laboratory Procedure'],50835,"Albumin, Ascites measurement",Lab,20.0
C1446180,Ascitic fluid amylase measurement,['Laboratory Procedure'],50836,"Amylase, Ascites measurement",Lab,38.0
C0201913,"Bilirubin, total measurement",['Laboratory Procedure'],50838,"Bilirubin, Total, Ascites measurement",Lab,26.0
C0201975,Creatinine measurement,['Laboratory Procedure'],50841,"Creatinine, Ascites measurement",Lab,11.0
C1446182,Ascitic fluid glucose measurement,['Laboratory Procedure'],50842,"Glucose, Ascites measurement",Lab,44.0
C1446179,Ascitic fluid lactate dehydrogenase measurement,['Laboratory Procedure'],50843,"Lactate Dehydrogenase, Ascites measurement",Lab,54.0
C1446183,Ascitic fluid protein measurement,['Laboratory Procedure'],50849,"Total Protein, Ascites measurement",Lab,68.0
C0202236,Triglycerides measurement,['Laboratory Procedure'],50850,"Triglycerides, Ascites measurement",Lab,3.0
C0474680,Hemoglobin A1c measurement,['Laboratory Procedure'],50852,% Hemoglobin A1c measurement,Lab,289.0
C0373558,"Vitamin D, 25-hydroxy measurement",['Laboratory Procedure'],50853,25-OH Vitamin D measurement,Lab,3.0
C0373527,Acetaminophen measurement,['Laboratory Procedure'],50856,Acetaminophen measurement,Lab,55.0
C0201836,Alanine aminotransferase measurement,['Laboratory Procedure'],50861,Alanine Aminotransferase  measurement,Lab,6350.0
C0201838,Albumin measurement,['Laboratory Procedure'],50862,Albumin measurement,Lab,4657.0
C0201850,Alkaline phosphatase measurement,['Laboratory Procedure'],50863,Alkaline Phosphatase measurement,Lab,6303.0
C0201539,Alpha one fetoprotein measurement,['Laboratory Procedure'],50864,Alpha-Fetoprotein measurement,Lab,39.0
C0201879,Ammonia measurement,['Laboratory Procedure'],50866,Ammonia measurement,Lab,161.0
C0201883,Amylase measurement,['Laboratory Procedure'],50867,Amylase measurement,Lab,2397.0
C0201889,Anion gap measurement,['Laboratory Procedure'],50868,Anion Gap measurement,Lab,28795.0
C0201899,Aspartate aminotransferase measurement,['Laboratory Procedure'],50878,Asparate Aminotransferase  measurement,Lab,6350.0
C0201910,Beta-2-microglobulin measurement,['Laboratory Procedure'],50881,Beta-2 Microglobulin measurement,Lab,3.0
C0202059,Bicarbonate measurement,['Laboratory Procedure'],50882,Bicarbonate measurement,Lab,29127.0
C0201916,"Bilirubin, direct measurement",['Laboratory Procedure'],50883,"Bilirubin, Direct measurement",Lab,1910.0
C0201913,"Bilirubin, total measurement",['Laboratory Procedure'],50885,"Bilirubin, Total measurement",Lab,7840.0
C0201657,C-reactive protein measurement,['Laboratory Procedure'],50889,C-Reactive Protein measurement,Lab,176.0
C0201549,CA 125 measurement,['Laboratory Procedure'],50892,CA-125 measurement,Lab,9.0
C0202233,Thyroxine binding globulin measurement,['Laboratory Procedure'],50895,Calculated TBG measurement,Lab,16.0
C0006950,Carbamazepine measurement,['Laboratory Procedure'],50899,Carbamazepine measurement,Lab,34.0
C0201933,Carcinoembryonic antigen measurement,['Laboratory Procedure'],50900,Carcinoembyronic Antigen  measurement,Lab,27.0
C0201952,Chloride measurement,['Laboratory Procedure'],50902,Chloride measurement,Lab,29350.0
C1445957,Serum total cholesterol measurement,['Laboratory Procedure'],50907,"Cholesterol, Total measurement",Lab,361.0
C0201973,Creatine kinase measurement,['Laboratory Procedure'],50908,CK-MB Index measurement,Lab,1173.0
C0201968,Cortisol Measurement,['Laboratory Procedure'],50909,Cortisol measurement,Lab,787.0
C0201973,Creatine kinase measurement,['Laboratory Procedure'],50910,Creatine Kinase  measurement,Lab,5311.0
C0201975,Creatinine measurement,['Laboratory Procedure'],50912,Creatinine measurement,Lab,28479.0
C1278100,Blood cyclosporin measurement,['Laboratory Procedure'],50914,Cyclosporin measurement,Lab,247.0
C0337449,Digoxin measurement,['Laboratory Procedure'],50917,Digoxin measurement,Lab,314.0
C0337434,Estradiol measurement,['Laboratory Procedure'],50921,Estradiol measurement,Lab,2.0
C0202304,Ethanol measurement,['Laboratory Procedure'],50922,Ethanol measurement,Lab,39.0
C0373607,Ferritin measurement,['Laboratory Procedure'],50924,Ferritin measurement,Lab,481.0
C0427425,Plasma folate measurement,['Laboratory Procedure'],50925,Folate measurement,Lab,238.0
C0202022,Follicle stimulating hormone measurement,['Laboratory Procedure'],50926,Follicle Stimulating Hormone measurement,Lab,8.0
C0202036,Gastrin measurement,['Laboratory Procedure'],50928,Gastrin measurement,Lab,4.0
C0202391,Gentamicin measurement,['Laboratory Procedure'],50929,Gentamicin measurement,Lab,306.0
C0877347,Globulin measurement,['Laboratory Procedure'],50930,Globulin measurement,Lab,103.0
C0337438,Glucose measurement,['Laboratory Procedure'],50931,Glucose measurement,Lab,27586.0
C0427498,Serum haptoglobin measurement,['Laboratory Procedure'],50935,Haptoglobin measurement,Lab,399.0
C2242817,Homocysteine measurement,['Laboratory Procedure'],50945,Homocysteine measurement,Lab,19.0
C0428402,Human chorionic gonadotropin measurement,['Laboratory Procedure'],50946,Human Chorionic Gonadotropin measurement,Lab,2.0
C0202083,Immunoglobulin A measurement,['Laboratory Procedure'],50949,Immunoglobulin A measurement,Lab,52.0
C0202087,Immunoglobulin G measurement,['Laboratory Procedure'],50950,Immunoglobulin G measurement,Lab,66.0
C0202084,Immunoglobulin M measurement,['Laboratory Procedure'],50951,Immunoglobulin M measurement,Lab,57.0
C0337439,Iron measurement,['Laboratory Procedure'],50952,Iron measurement,Lab,536.0
C1283048,Iron binding capacity total measurement,['Laboratory Procedure'],50953,"Iron Binding Capacity, Total measurement",Lab,522.0
C0202113,Lactate dehydrogenase measurement,['Laboratory Procedure'],50954,Lactate Dehydrogenase  measurement,Lab,3799.0
C0373670,Lipase measurement,['Laboratory Procedure'],50956,Lipase measurement,Lab,2346.0
C0337452,Lithium measurement,['Laboratory Procedure'],50957,Lithium measurement,Lab,10.0
C0202123,Luteinizing hormone measurement,['Laboratory Procedure'],50958,Luteinizing Hormone measurement,Lab,2.0
C0373675,Magnesium measurement,['Laboratory Procedure'],50960,Magnesium measurement,Lab,25638.0
C0201803,Osmolality Measurement,['Laboratory Procedure'],50964,"Osmolality, Measured measurement",Lab,738.0
C0202159,Parathyroid hormone measurement,['Laboratory Procedure'],50965,Parathyroid Hormone measurement,Lab,101.0
C0524238,Phenobarbital measurement,['Laboratory Procedure'],50966,Phenobarbital measurement,Lab,159.0
C0202454,Phenytoin measurement,['Laboratory Procedure'],50967,Phenytoin measurement,Lab,1085.0
C0524242,"Phenytoin, free measurement",['Laboratory Procedure'],50968,"Phenytoin, Free measurement",Lab,55.0
C0523826,Phosphate measurement,['Laboratory Procedure'],50970,Phosphate measurement,Lab,22490.0
C0202194,Potassium measurement,['Laboratory Procedure'],50971,Potassium measurement,Lab,31755.0
C0373706,Prolactin measurement,['Laboratory Procedure'],50973,Prolactin measurement,Lab,6.0
C0201544,Prostate specific antigen measurement,['Laboratory Procedure'],50974,Prostate Specific Antigen measurement,Lab,26.0
C0555903,Total protein measurement,['Laboratory Procedure'],50976,"Protein, Total measurement",Lab,246.0
C0337453,Quinidine measurement,['Laboratory Procedure'],50977,Quinidine measurement,Lab,2.0
C0201660,Rheumatoid Factor Measurement,['Laboratory Procedure'],50980,Rheumatoid Factor measurement,Lab,23.0
C0202463,Salicylate measurement,['Laboratory Procedure'],50981,Salicylate measurement,Lab,4.0
C0337443,Sodium measurement,['Laboratory Procedure'],50983,Sodium measurement,Lab,29854.0
C0337445,Thyroglobulin measurement,['Laboratory Procedure'],50991,Thyroglobulin measurement,Lab,4.0
C0202230,Thyroid stimulating hormone measurement,['Laboratory Procedure'],50993,Thyroid Stimulating Hormone measurement,Lab,783.0
C0202231,Thyroxine measurement,['Laboratory Procedure'],50994,Thyroxine  measurement,Lab,98.0
C1445963,Tissue transglutaminase IgA measurement,['Laboratory Procedure'],50996,"Tissue Transglutaminase Ab, IgA measurement",Lab,6.0
C0202490,Tobramycin measurement,['Laboratory Procedure'],50997,Tobramycin measurement,Lab,42.0
C0202105,Transferrin measurement,['Laboratory Procedure'],50998,Transferrin measurement,Lab,522.0
C0202236,Triglycerides measurement,['Laboratory Procedure'],51000,Triglycerides measurement,Lab,689.0
C0428419,Triiodothyronine measurement,['Laboratory Procedure'],51001,Triiodothyronine  measurement,Lab,69.0
C0920210,Troponin I measurement,['Laboratory Procedure'],51002,Troponin I measurement,Lab,336.0
C0523953,Troponin T cardiac measurement,['Laboratory Procedure'],51003,Troponin T measurement,Lab,2477.0
C0005845,Blood urea nitrogen measurement,['Laboratory Procedure'],51006,Urea Nitrogen measurement,Lab,28384.0
C0202239,Uric acid measurement (procedure),['Laboratory Procedure'],51007,Uric Acid measurement,Lab,785.0
C0202495,Valproic acid measurement,['Laboratory Procedure'],51008,Valproic Acid measurement,Lab,247.0
C0202252,VITAMIN B12 MEASUREMENT,['Laboratory Procedure'],51010,Vitamin B12 measurement,Lab,335.0
C0201953,Measurement of chloride in urine,['Laboratory Procedure'],51078,"Chloride, Urine measurement",Lab,268.0
C0201976,"Creatinine measurement, serum (procedure)",['Laboratory Procedure'],51081,"Creatinine, Serum measurement",Lab,2.0
C1318439,Urine creatinine measurement,['Laboratory Procedure'],51082,"Creatinine, Urine measurement",Lab,1115.0
C0004076,"Glucose measurement, urine",['Laboratory Procedure'],51084,"Glucose, Urine measurement",Lab,3.0
C0428308,"Magnesium measurement, urine",['Laboratory Procedure'],51088,"Magnesium, Urine measurement",Lab,12.0
C0740085,"Osmolality measurement, urine",['Laboratory Procedure'],51093,"Osmolality, Urine measurement",Lab,754.0
C0202165,Hydrogen ion concentration measurement,['Laboratory Procedure'],51094,pH measurement,Lab,38.0
C0428306,Urine inorganic phosphate measurement,['Laboratory Procedure'],51095,"Phosphate, Urine measurement",Lab,29.0
C0202195,"Potassium measurement, urine",['Laboratory Procedure'],51097,"Potassium, Urine measurement",Lab,328.0
C0428627,Protein to Creatinine Ratio Measurement,['Laboratory Procedure'],51099,Protein/Creatinine Ratio measurement,Lab,172.0
C1256585,"Sodium measurement, urine",['Laboratory Procedure'],51100,"Sodium, Urine measurement",Lab,942.0
C0428541,Urine total protein measurement,['Laboratory Procedure'],51102,"Total Protein, Urine measurement",Lab,197.0
C0373737,"Urea nitrogen measurement, urine",['Laboratory Procedure'],51104,"Urea Nitrogen, Urine measurement",Lab,535.0
C1318439,Urine creatinine measurement,['Laboratory Procedure'],51106,Urine Creatinine measurement,Lab,2.0
C1278293,Urine sample volume measurement,['Laboratory Procedure'],51108,Urine Volume measurement,Lab,41.0
C1171399,Eosinophil percentage measurement,['Laboratory Procedure'],51114,Eosinophils measurement,Lab,19.0
C1294064,Mesothelial cell count,['Laboratory Procedure'],51118,Mesothelial Cell measurement,Lab,62.0
C1171403,Monocyte percentage measurement,['Laboratory Procedure'],51120,Monocytes measurement,Lab,107.0
C0200635,Lymphocyte Count measurement,['Laboratory Procedure'],51133,Absolute Lymphocyte Count measurement,Lab,35.0
C0455311,IgG anticardiolipins measurement,['Laboratory Procedure'],51138,Anticardiolipin Antibody IgG measurement,Lab,13.0
C5700247,IgM anticardiolipins measurement,['Laboratory Procedure'],51139,Anticardiolipin Antibody IgM measurement,Lab,13.0
C1277790,CD3 percent count,['Laboratory Procedure'],51176,"CD3 Cells, Percent measurement",Lab,22.0
C1277791,CD4 percent count,['Laboratory Procedure'],51180,"CD4 Cells, Percent measurement",Lab,35.0
C0085115,CD4/CD8 ratio (procedure),['Laboratory Procedure'],51181,CD4/CD8 Ratio measurement,Lab,22.0
C1277792,CD8 percent count,['Laboratory Procedure'],51194,"CD8 Cells, Percent measurement",Lab,22.0
C0200638,Eosinophil count (procedure),['Laboratory Procedure'],51199,Eosinophil Count measurement,Lab,12.0
C1171399,Eosinophil percentage measurement,['Laboratory Procedure'],51200,Eosinophils measurement,Lab,5326.0
C0857490,Granulocyte count,['Laboratory Procedure'],51218,Granulocyte Count measurement,Lab,641.0
C0474566,Platelet hematocrit measurement,['Laboratory Procedure'],51221,Hematocrit measurement,Lab,31739.0
C1275423,Measurement of hemoglobin C,['Laboratory Procedure'],51224,Hemoglobin C measurement,Lab,3.0
C0948093,Hemoglobin S measurement,['Laboratory Procedure'],51227,Hemogloblin S measurement,Lab,3.0
C0523108,"Hypersegmented neutrophil count, blood",['Laboratory Procedure'],51232,Hypersegmented Neutrophils measurement,Lab,13.0
C0369183,Mean corpuscular hemoglobin determination,['Laboratory Procedure'],51248,MCH measurement,Lab,26151.0
C0474535,Mean corpuscular hemoglobin concentration determination,['Laboratory Procedure'],51249,MCHC measurement,Lab,26163.0
C1171403,Monocyte percentage measurement,['Laboratory Procedure'],51254,Monocytes measurement,Lab,5326.0
C0030605,Activated Partial Thromboplastin Time measurement,['Laboratory Procedure'],51275,PTT measurement,Lab,18704.0
C0427460,Red cell distribution width determination,['Laboratory Procedure'],51277,RDW measurement,Lab,26075.0
C0523157,"Reticulocyte count, manual",['Laboratory Procedure'],51284,"Reticulocyte Count, Manual measurement",Lab,124.0
C1176468,Erythrocyte sedimentation rate measurement,['Laboratory Procedure'],51288,Sedimentation Rate measurement,Lab,186.0
C1271799,Von Willebrand factor activity measurement,['Laboratory Procedure'],51298,Von Willebrand Factor Activity measurement,Lab,2.0
C0023508,White Blood Cell Count procedure,['Laboratory Procedure'],51300,WBC Count measurement,Lab,35.0
C0337438,Glucose measurement,['Laboratory Procedure'],51478,Glucose measurement,Lab,397.0
C0202165,Hydrogen ion concentration measurement,['Laboratory Procedure'],51491,pH measurement,Lab,3791.0
C0202202,Protein measurement,['Laboratory Procedure'],51492,Protein measurement,Lab,1192.0
C0201802,Specific gravity measurement,['Laboratory Procedure'],51498,Specific Gravity measurement,Lab,3699.0
C0202241,Urobilinogen measurement,['Laboratory Procedure'],51514,Urobilinogen measurement,Lab,982.0
C0081876,pantoprazole,"['Organic Chemical', 'Pharmacologic Substance']",40550,PANTOPRAZOLE,Input,13.0
C0058716,doxacurium,"['Organic Chemical', 'Pharmacologic Substance']",30116,Doxacurium,Input,25.0
C0014563,epinephrine,"['Organic Chemical', 'Pharmacologic Substance', 'Hormone']",30119,Epinephrine-k,Input,924.0
C0128513,milrinone,"['Organic Chemical', 'Pharmacologic Substance']",30125,Milrinone,Input,2575.0
C0030310,pancuronium,"['Organic Chemical', 'Pharmacologic Substance']",30129,Pancuronium,Input,29.0
C0242531,vecuronium,"['Organic Chemical', 'Pharmacologic Substance']",30138,Vecuronium,Input,27.0
C0015846,fentanyl,"['Organic Chemical', 'Pharmacologic Substance']",30150,Fentanyl Base,Input,887.0
C0772394,lepirudin,"['Amino Acid, Peptide, or Protein', 'Pharmacologic Substance']",30177,Lepirudin,Input,107.0
C2316467,Packed red blood cells,"['Amino Acid, Peptide, or Protein', 'Pharmacologic Substance']",30179,PRBC's,Input,453.0
C0036082,Saline Solution,"['Pharmacologic Substance', 'Inorganic Chemical']",30352,0.9% Normal Saline,Input,124.0
C0036082,Saline Solution,"['Pharmacologic Substance', 'Inorganic Chemical']",30353,0.45% Normal Saline,Input,394.0
C0006699,calcium gluconate,"['Organic Chemical', 'Pharmacologic Substance']",30023,Calcium Gluconate,Input,2612.0
C0074722,sodium bicarbonate,"['Organic Chemical', 'Pharmacologic Substance']",30030,Sodium Bicarbonate,Input,2100.0
C0013030,dopamine,"['Organic Chemical', 'Pharmacologic Substance', 'Biologically Active Substance']",30043,Dopamine,Input,5063.0
C0017887,nitroglycerin,"['Organic Chemical', 'Pharmacologic Substance']",30049,Nitroglycerine,Input,539.0
C0521939,Selenium supplement,"['Pharmacologic Substance', 'Inorganic Chemical']",30057,Supplement,Input,18.0
C0001047,acetylcysteine,"['Amino Acid, Peptide, or Protein', 'Pharmacologic Substance']",41182,acetylcysteine 20%,Input,7.0
C0074757,sodium phosphate,"['Pharmacologic Substance', 'Inorganic Chemical']",41183,Sodium Phosphate,Input,7.0
C0074757,sodium phosphate,"['Pharmacologic Substance', 'Inorganic Chemical']",42488,SODIUM PHOSPHATE,Input,14.0
C0718014,potassium chloride / sodium chloride,['Pharmacologic Substance'],30296,Sodium Chloride,Input,7891.0
C0032825,potassium chloride,"['Pharmacologic Substance', 'Inorganic Chemical']",30297,Potassium Chloride,Input,6801.0
C0142785,sodium acetate,"['Organic Chemical', 'Pharmacologic Substance']",30298,Sodium Acetate,Input,1024.0
C0137984,potassium acetate,"['Organic Chemical', 'Pharmacologic Substance']",30299,Potassium Acetate,Input,449.0
C0012963,dobutamine,"['Organic Chemical', 'Pharmacologic Substance']",30306,Dobutamine Drip,Input,95.0
C0048470,argatroban,"['Amino Acid, Peptide, or Protein', 'Pharmacologic Substance']",30173,Argatroban,Input,552.0
C0028005,nicardipine,"['Organic Chemical', 'Pharmacologic Substance']",30178,Nicardipine,Input,428.0
C0019134,heparin,"['Organic Chemical', 'Pharmacologic Substance', 'Biologically Active Substance']",30209,Heparin,Input,44.0
C0443121,Cryoprecipitate (product),['Pharmacologic Substance'],30007,Cryoprecipitate,Input,50.0
C0036082,Saline Solution,"['Pharmacologic Substance', 'Inorganic Chemical']",30018,.9% Normal Saline,Input,158112.0
C0036082,Saline Solution,"['Pharmacologic Substance', 'Inorganic Chemical']",30020,.45% Normal Saline,Input,4201.0
C0019134,heparin,"['Organic Chemical', 'Pharmacologic Substance', 'Biologically Active Substance']",30025,Heparin,Input,34548.0
C0024480,magnesium sulfate,"['Pharmacologic Substance', 'Inorganic Chemical']",30027,Magnesium Sulfate,Input,146.0
C0071778,potassium phosphate,"['Pharmacologic Substance', 'Inorganic Chemical']",30029,Potassium Phosphate,Input,1543.0
C0039840,thiamine,"['Organic Chemical', 'Pharmacologic Substance', 'Vitamin']",30031,Thiamine,Input,515.0
C0012963,dobutamine,"['Organic Chemical', 'Pharmacologic Substance']",30042,Dobutamine,Input,2208.0
C0014563,epinephrine,"['Organic Chemical', 'Pharmacologic Substance', 'Hormone']",30044,Epinephrine,Input,7.0
C0021641,Insulin,"['Amino Acid, Peptide, or Protein', 'Pharmacologic Substance', 'Hormone']",30045,Insulin,Input,21355.0
C0023660,lidocaine,"['Organic Chemical', 'Pharmacologic Substance']",30048,Lidocaine,Input,450.0
C0028193,nitroprusside,"['Pharmacologic Substance', 'Inorganic Chemical']",30050,Nitroprusside,Input,3250.0
C1705480,vasopressin (USP),"['Amino Acid, Peptide, or Protein', 'Pharmacologic Substance', 'Hormone']",30051,Vasopressin,Input,2424.0
C0015506,factor VIII,"['Amino Acid, Peptide, or Protein', 'Pharmacologic Substance', 'Biologically Active Substance']",30093,Factor VIII,Input,3.0
C0456388,Blood product,['Pharmacologic Substance'],30094,Other Blood Products,Input,53.0
C0795635,"insulin, regular, human","['Amino Acid, Peptide, or Protein', 'Pharmacologic Substance', 'Hormone']",30100,Regular Insulin,Input,480.0
C0002598,amiodarone,"['Organic Chemical', 'Pharmacologic Substance']",30112,Amiodarone,Input,5739.0
C1096766,cisatracurium,"['Organic Chemical', 'Pharmacologic Substance']",30114,Cisatracurium,Input,777.0
C0012373,diltiazem,"['Organic Chemical', 'Pharmacologic Substance']",30115,Diltiazem,Input,2539.0
C0116569,esmolol,"['Organic Chemical', 'Pharmacologic Substance']",30117,Esmolol,Input,715.0
C0015846,fentanyl,"['Organic Chemical', 'Pharmacologic Substance']",30118,Fentanyl,Input,20290.0
C0017887,nitroglycerin,"['Organic Chemical', 'Pharmacologic Substance']",30121,Nitroglycerine-k,Input,6307.0
C0026056,midazolam,"['Organic Chemical', 'Pharmacologic Substance']",30124,Midazolam,Input,14777.0
C0066814,morphine sulfate,"['Organic Chemical', 'Pharmacologic Substance']",30126,Morphine Sulfate,Input,1485.0
C0033487,propofol,"['Organic Chemical', 'Pharmacologic Substance']",30131,Propofol,Input,22193.0
C0036082,Saline Solution,"['Pharmacologic Substance', 'Inorganic Chemical']",30143,3% Normal Saline,Input,169.0
C0015846,fentanyl,"['Organic Chemical', 'Pharmacologic Substance']",30149,Fentanyl,Input,935.0
C0022614,ketamine,"['Organic Chemical', 'Pharmacologic Substance']",30151,Ketamine,Input,38.0
C0086140,dextran,"['Organic Chemical', 'Pharmacologic Substance']",42944,dextran,Input,3.0
C0010592,cyclosporine,"['Amino Acid, Peptide, or Protein', 'Pharmacologic Substance']",44324,cyclosporin 2mg/hr,Input,69.0
C0010592,cyclosporine,"['Amino Acid, Peptide, or Protein', 'Pharmacologic Substance']",44331,cyclosporin 4mg/hr,Input,12.0
